date,datayear,title,description,subject,categories,url
2025-07-29,2013,Bechdel Test and box office results,"The Bechdel test evaluates works of fiction based on whether they contain at least two women who talk to each other about something other than a man. It is often viewed as a proxy for gender bias in film and TV. Using a movie dataset from 1970 to 2013, we try to understand if passing the Bechdel test hurts or benefits the box office.",social,"EDA, linear regression, ANOVA",https://cmustatistics.github.io/data-repository/social/bechdel_test.html
2025-07-21,2018,Costa Rican household poverty level,"This dataset is useful for public policy and international development. Using data from a household survey in Costa Rica, you can predict a categorial outcome (level of household poverty) from observable household characteristics. Or, you can come up with your own questions, such as predicting female head of household based on household characterstics.",social,"EDA, data cleaning, surveys, linear regression, multivariate analysis, logistic regression, categorical data, clustering",https://cmustatistics.github.io/data-repository/social/costa_rica_households.html
2025-07-26,2023,Survey on attitude towards migrants,"This dataset is useful for public policy and causal analysis. In Mexico and the Dominican Republic, a survey was conducted on attitudes towards migrants. Each respondent receives one of two possible treatments (either an “emotive” or “informative” video about migrants), or is part of the placebo group (shown an unrelated video).",social,"EDA, causality, surveys, linear regression, multivariate analysis, logistic regression, experimental design",https://cmustatistics.github.io/data-repository/social/migrants.html
2019-08-14,2010,"House prices in Ames, Iowa","Records of homes sold in Ames, Iowa, and their sale prices, including detailed covariates that could be used to predict home prices.",money,"linear regression, nonparametric regression",https://cmustatistics.github.io/data-repository/money/ames-housing.html
2023-06-09,2021,European protected ham,"In Europe, some types of ham—like Black Forest ham—can only be legally produced in specific geographic regions. Does the size of those regions affect the price of the ham?",money,"ANOVA, linear regression, hierarchical model",https://cmustatistics.github.io/data-repository/money/european-ham.html
2022-07-27,2014,Rail trails and property values,"Rail trails are a great recreation opportunity, but do homes near them rise in value? A retrospective observational study of house values.",money,"linear regression, nonparametric regression",https://cmustatistics.github.io/data-repository/money/rail-trails.html
2023-09-06,2023,Mapping Police Violence,"Each year in the United States, around 1,000 people are killed by police. Some of these deaths are accidental, in traffic accidents and other incidents; some are deliberate killings considered legally justified by authorities; and others are considered unjustified or even lead to the prosecution of the police officer. Explore data on over 10,000 such killings to identify patterns in the people killed, the stated reasons for their killings, and the situations leading to their deaths.",crime-and-justice,"GLMs, linear regression, logistic regression",https://cmustatistics.github.io/data-repository/crime-and-justice/mapping-police-violence.html
2019-02-09,2015,Traffic stops in Connecticut,"Records for every traffic stop made by the Connecticut State Police over several years, including the reason for the stop and demographic details. Use classifiers to study whether stop and search decisions show signs of bias.",crime-and-justice,"classification, logistic regression",https://cmustatistics.github.io/data-repository/crime-and-justice/connecticut-stops.html
2023-05-17,2020,Core temperature during surgery,Is low core temperature during surgery associated with poor surgical outcomes or death? Use logistic and survival analysis to study an observational dataset.,medicine,"logistic regression, survival analysis",https://cmustatistics.github.io/data-repository/medicine/core-temperature.html
2025-05-08,1989,Distinguishing bacterial and viral meningitis,"Doctors treating meningitis must rapidly determine if it is caused by bacteria or a virus. Can this be predicted using fast, inexpensive tests, instead of slower bacterial and viral cultures? Use an observational sample of meningitis cases to build a classifier.",medicine,"logistic regression, classification",https://cmustatistics.github.io/data-repository/medicine/meningitis.html
